=== Memory Allocator Event Log ===
[2024-11-26 17:01:03] Operation: malloc_control, Size: 0, Ptr: (nil), Set allocation method to WORST_FIT
[2024-11-26 17:01:03] Operation: split_block, Size: 160, Ptr: 0x556d6d4ba0b8, Splitted block: new free block at 0x556d6d4ba090 with size 160
[2024-11-26 17:01:03] Operation: malloc, Size: 100, Ptr: 0x556d6d4ba028, Block reused from free list
[2024-11-26 17:01:03] Operation: extend_heap, Size: 304, Ptr: 0x556d6d4ba180, Block extended using sbrk
[2024-11-26 17:01:03] Operation: malloc, Size: 300, Ptr: 0x556d6d4ba180, Block extended using sbrk
[2024-11-26 17:01:03] Operation: extend_heap, Size: 200, Ptr: 0x556d6d4ba2d8, Block extended using sbrk
[2024-11-26 17:01:03] Operation: malloc, Size: 200, Ptr: 0x556d6d4ba2d8, Block extended using sbrk
[2024-11-26 17:01:03] Operation: malloc, Size: 150, Ptr: 0x556d6d4ba0b8, Block reused from free list
[2024-11-26 17:01:03] Operation: free, Size: 304, Ptr: 0x556d6d4ba180, Block marked as free
[2024-11-26 17:01:03] Operation: fusion, Size: 0, Ptr: 0x556d6d4ba180, Blocks fused
[2024-11-26 17:01:03] Operation: free, Size: 160, Ptr: 0x556d6d4ba0b8, Block marked as free
[2024-11-26 17:01:03] Operation: fusion, Size: 0, Ptr: 0x556d6d4ba0b8, Blocks fused
[2024-11-26 17:01:03] Operation: split_block, Size: 208, Ptr: 0x556d6d4ba1e0, Splitted block: new free block at 0x556d6d4ba1b8 with size 208
[2024-11-26 17:01:03] Operation: malloc, Size: 250, Ptr: 0x556d6d4ba0b8, Block reused from free list
[2024-11-26 17:01:03] Operation: free, Size: 104, Ptr: 0x556d6d4ba028, Block marked as free
[2024-11-26 17:01:03] Operation: fusion, Size: 0, Ptr: 0x556d6d4ba028, Blocks fused
[2024-11-26 17:01:03] Operation: free, Size: 200, Ptr: 0x556d6d4ba2d8, Block marked as free
[2024-11-26 17:01:03] Operation: fusion, Size: 0, Ptr: 0x556d6d4ba1e0, Blocks fused
[2024-11-26 17:01:03] Operation: free, Size: 256, Ptr: 0x556d6d4ba0b8, Block marked as free
[2024-11-26 17:01:03] Operation: fusion, Size: 0, Ptr: 0x556d6d4ba028, Blocks fused
[2024-11-26 17:01:29] Operation: malloc_control, Size: 0, Ptr: (nil), Set allocation method to WORST_FIT
[2024-11-26 17:01:29] Operation: split_block, Size: 160, Ptr: 0x556bd03200b8, Splitted block: new free block at 0x556bd0320090 with size 160
[2024-11-26 17:01:29] Operation: malloc, Size: 100, Ptr: 0x556bd0320028, Block reused from free list
[2024-11-26 17:01:29] Operation: extend_heap, Size: 304, Ptr: 0x556bd0320180, Block extended using sbrk
[2024-11-26 17:01:29] Operation: malloc, Size: 300, Ptr: 0x556bd0320180, Block extended using sbrk
[2024-11-26 17:01:29] Operation: extend_heap, Size: 200, Ptr: 0x556bd03202d8, Block extended using sbrk
[2024-11-26 17:01:29] Operation: malloc, Size: 200, Ptr: 0x556bd03202d8, Block extended using sbrk
[2024-11-26 17:01:29] Operation: malloc, Size: 150, Ptr: 0x556bd03200b8, Block reused from free list
[2024-11-26 17:01:29] Operation: free, Size: 304, Ptr: 0x556bd0320180, Block marked as free
[2024-11-26 17:01:29] Operation: fusion, Size: 0, Ptr: 0x556bd0320180, Blocks fused
[2024-11-26 17:01:29] Operation: free, Size: 160, Ptr: 0x556bd03200b8, Block marked as free
[2024-11-26 17:01:29] Operation: fusion, Size: 0, Ptr: 0x556bd03200b8, Blocks fused
[2024-11-26 17:01:29] Operation: split_block, Size: 208, Ptr: 0x556bd03201e0, Splitted block: new free block at 0x556bd03201b8 with size 208
[2024-11-26 17:01:29] Operation: malloc, Size: 250, Ptr: 0x556bd03200b8, Block reused from free list
