=== Memory Allocator Event Log ===
[2024-11-26 20:48:31] Operation: extend_heap, Size: 64, Ptr: 0x55b972bce028, Block extended using sbrk
[2024-11-26 20:48:31] Operation: malloc, Size: 64, Ptr: 0x55b972bce028, Initial block created
[2024-11-26 20:48:31] Operation: extend_heap, Size: 128, Ptr: 0x55b972bce090, Block extended using sbrk
[2024-11-26 20:48:31] Operation: malloc, Size: 128, Ptr: 0x55b972bce090, Block extended using sbrk
[2024-11-26 20:48:31] Operation: calloc, Size: 128, Ptr: 0x55b972bce090, Block allocated and zero-initialized
[2024-11-26 20:48:31] Operation: extend_heap, Size: 128, Ptr: 0x55b972bce138, Block extended using sbrk
[2024-11-26 20:48:31] Operation: malloc, Size: 128, Ptr: 0x55b972bce138, Block extended using sbrk
[2024-11-26 20:48:31] Operation: free, Size: 64, Ptr: 0x55b972bce028, Block marked as free
[2024-11-26 20:48:31] Operation: fusion, Size: 0, Ptr: 0x55b972bce028, Blocks fused
[2024-11-26 20:48:31] Operation: realloc, Size: 128, Ptr: 0x55b972bce138, Block resized by allocating new block and freeing old block
[2024-11-26 20:48:31] Operation: free, Size: 128, Ptr: 0x55b972bce090, Block marked as free
[2024-11-26 20:48:31] Operation: fusion, Size: 0, Ptr: 0x55b972bce028, Blocks fused
[2024-11-26 20:48:31] Operation: free, Size: 128, Ptr: 0x55b972bce138, Block marked as free
[2024-11-26 20:48:31] Operation: fusion, Size: 0, Ptr: 0x55b972bce028, Blocks fused
[2024-11-26 20:51:45] Operation: malloc_control, Size: 0, Ptr: (nil), Set allocation method to FIRST_FIT
[2024-11-26 20:51:45] Operation: extend_heap, Size: 32, Ptr: 0x55709bc2c028, Block extended using sbrk
[2024-11-26 20:51:45] Operation: malloc, Size: 32, Ptr: 0x55709bc2c028, Initial block created
[2024-11-26 20:51:45] Operation: extend_heap, Size: 64, Ptr: 0x55709bc2c070, Block extended using sbrk
[2024-11-26 20:51:45] Operation: malloc, Size: 64, Ptr: 0x55709bc2c070, Block extended using sbrk
[2024-11-26 20:51:45] Operation: extend_heap, Size: 128, Ptr: 0x55709bc2c0d8, Block extended using sbrk
